10000,98,5,22000,-111375.08
10000.0,98.0,20.0,22000.0,27094.091111999998
10000.0,90.0,26.0,26000.0,8902.9818360000008
10000.0,98.0,23.0,16000.0,58295.148714000003
17000.0,92.0,22.0,43000.0,89744.621004000001
20000,50,20,0,167718.60000000001
15000,95,40,19000,-126422.38
10000.0,95.0,30.0,10000.0,-86244.407668
2000.0,98.0,15.0,10000.0,-20120.986432000002
2000.0,92.0,20.0,0.0,1221.701454
20000,50,20,10000,159132.60000000001
20000.0,50.0,20.0,0.0,166866.44435999999
20000.0,50.0,20.0,10000.0,174976.15334399999
20000.0,20.0,20.0,10000.0,114405.012684
20000.0,50.0,30.0,10000.0,-82669.922279999999
20000,50,30,60000,-196465.39999999999
5000.0,50.0,20.0,0.0,32927.37156
5000.0,100.0,30.0,0.0,-45853.148258000001
5000.0,100.0,24.0,0.0,21431.327652
15000.0,50.0,20.0,0.0,-153274.50771000001
30000,5,9,0,32110.02
30000.0,5.0,14.0,0.0,153762.819372
30000.0,10.0,14.0,0.0,154400.88002400001
30000.0,20.0,20.0,0.0,155553.37054199999
30000.0,20.0,18.0,0.0,215417.33357399999
12000.0,50.0,13.5,10000.0,28721.304
30000.0,50.0,13.4,20000.0,76631.895180000007
40000.0,50.0,13.4,25000.0,108359.52552
54300.0,35.0,13.199999999999999,25000.0,165489.790878
75000.0,29.0,12.5,26000.0,209824.14247200001
37000,8,20,4000,68201.291249999995
60000.0,23.0,15.199999999999999,45000.0,288596.50914600003
95000.0,20.0,15.5,54000.0,508835.33953200001
150000.0,20.0,16.649999999999999,55000.0,928418.67705599999
35000,3,19,32000,39537.112500000003
35000.0,10.0,17.0,53000.0,135948.63954599999
55000.0,1.0,16.5,75000.0,155840.59395000001
70000.0,10.0,16.5,85000.0,339773.81477400003
100000.0,12.0,16.5,170000.0,501184.61559
20000,50,18,0,135318.60000000001
35000.0,70.0,22.0,0.0,336576.15396000003
60000.0,85.0,24.0,0.0,470150.23184999998
75000.0,100.0,26.0,0.0,291779.26012799999
120000.0,96.0,22.899999999999999,0.0,992432.61806400004
20000,15,18,110000,10683.349200000001
20000.0,15.0,18.0,125000.0,1783.4952599999999
20000.0,15.0,18.0,110000.0,-10073.95609
20000.0,15.0,18.0,100000.0,19972.031004
20000.0,15.0,18.0,95000.0,18091.811861999999
329170.0,77.0,23.5,78000.0,2552963.7472740002
79000.0,60.0,18.0,25000.0,257516.100072
90000.0,70.0,22.0,38000.0,350307.70360344002
145000.0,75.0,22.0,53000.0,1294379.059104
16000,60,14,25000,14168.52
160000.0,60.0,23.0,39000.0,1089916.3476180001
230000.0,78.0,23.0,79000.0,1638141.5286900001
350000.0,75.0,24.0,93000.0,2876717.4630479999
72000,60,17,25000,195383.66399999999
88170.0,70.0,23.0,38000.0,566092.95649200003
143170.0,75.0,22.0,46000.0,977325.66138599999
143170.0,75.0,22.0,46000.0,977325.66138599999
224170.0,75.0,22.5,61000.0,1558962.246204
329170.0,77.0,23.5,78000.0,2552963.7472740002
58070,65,23,17000,273007.92096000002
40000.0,30.0,12.0,30000.0,-37902.105799999998
40000.0,50.0,14.0,14000.0,6809.5109160000002
65000.0,30.0,11.0,5000.0,-250675.13834144
35000.0,58.0,14.0,15000.0,-226082.35312056
35000,10,11,14000,68850.0
40000.0,23.0,11.0,20000.0,57674.43
45000.0,39.0,12.0,11000.0,92193.767298000006
50000.0,45.0,12.0,36000.0,71606.504520000002
40000.0,40.0,12.0,35000.0,68383.020420000001
4000.0,4.0,11.5,3000.0,-1944.7439999999999
4000.0,5.0,12.5,2000.0,2240.8776360000002
4000.0,8.0,12.5,3000.0,-69.495596000000006
3000.0,25.0,13.0,2000.0,-4613.4972959999996
3500.0,6.0,11.5,1000.0,-2387.0663960000002
45000,10,10,50000,-9140.3089600000003
95000.0,10.0,11.5,50000.0,170631.49413599999
79000.0,20.0,11.75,40000.0,64744.376166000002
167000.0,20.0,12.75,40000.0,197468.83647000001
190000.0,20.0,13.0,40000.0,171960.15495600001
205000.0,20.0,14.0,40000.0,401814.02424599999
50000.0,15.0,15.99,12000.0,191046.60000000001
65000.0,16.0,17.989999999999998,40000.0,266967.34596000001
80000.0,17.0,14.99,95000.0,244468.33317
105000.0,18.0,17.989999999999998,95000.0,537813.05275799998
140000.0,20.0,18.989999999999998,122000.0,965316.84373800003
